sensor_id,timestamp,location,temperature,humidity
b8:27:eb:bf:9d:51,2020-07-12 00:29:40.010636091,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:29:41.343691587,IoT-Lab,19.700000762939453,76.0
1c:bf:ce:15:ec:4d,2020-07-12 00:29:43.248651505,IoT-Lab,27.0,77.69999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:29:43.696807384,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:29:45.699030876,IoT-Lab,19.700000762939453,76.0
b8:27:eb:bf:9d:51,2020-07-12 00:29:47.382568359,IoT-Lab,22.6,51.1
1c:bf:ce:15:ec:4d,2020-07-12 00:29:50.261706591,IoT-Lab,26.899999618530273,77.69999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:29:51.068450212,IoT-Lab,22.5,51.1
00:0f:00:70:91:0a,2020-07-12 00:29:51.661686897,IoT-Lab,19.700000762939453,76.0
1c:bf:ce:15:ec:4d,2020-07-12 00:29:54.071537256,IoT-Lab,26.899999618530273,78.0
b8:27:eb:bf:9d:51,2020-07-12 00:29:54.754259109,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:29:57.087120295,IoT-Lab,19.700000762939453,76.0999984741211
1c:bf:ce:15:ec:4d,2020-07-12 00:29:57.879146338,IoT-Lab,27.0,77.9000015258789
b8:27:eb:bf:9d:51,2020-07-12 00:29:58.440468311,IoT-Lab,22.6,51.2
b8:27:eb:bf:9d:51,2020-07-12 00:30:02.126381397,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:30:02.519522429,IoT-Lab,19.700000762939453,76.0999984741211
1c:bf:ce:15:ec:4d,2020-07-12 00:30:04.917310476,IoT-Lab,26.899999618530273,77.9000015258789
b8:27:eb:bf:9d:51,2020-07-12 00:30:05.812079906,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:30:08.487167120,IoT-Lab,19.700000762939453,76.19999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:30:09.497947693,IoT-Lab,22.6,51.1
1c:bf:ce:15:ec:4d,2020-07-12 00:30:11.401629448,IoT-Lab,26.899999618530273,77.80000305175781
b8:27:eb:bf:9d:51,2020-07-12 00:30:13.183078289,IoT-Lab,22.5,51.1
00:0f:00:70:91:0a,2020-07-12 00:30:13.910397291,IoT-Lab,19.700000762939453,76.19999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:30:16.868998051,IoT-Lab,22.6,51.1
1c:bf:ce:15:ec:4d,2020-07-12 00:30:17.344088316,IoT-Lab,26.899999618530273,77.69999694824219
00:0f:00:70:91:0a,2020-07-12 00:30:18.799668550,IoT-Lab,19.700000762939453,76.19999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:30:20.554931402,IoT-Lab,22.5,51.1
b8:27:eb:bf:9d:51,2020-07-12 00:30:24.240684509,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:30:25.298604250,IoT-Lab,19.700000762939453,76.19999694824219
1c:bf:ce:15:ec:4d,2020-07-12 00:30:25.429979563,IoT-Lab,27.0,77.80000305175781
b8:27:eb:bf:9d:51,2020-07-12 00:30:27.925510168,IoT-Lab,22.6,51.1
1c:bf:ce:15:ec:4d,2020-07-12 00:30:31.376323938,IoT-Lab,26.899999618530273,77.69999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:30:31.611504793,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:30:31.797549486,IoT-Lab,19.700000762939453,76.19999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:30:35.297390699,IoT-Lab,22.6,51.1
00:0f:00:70:91:0a,2020-07-12 00:30:37.757500648,IoT-Lab,19.700000762939453,76.0999984741211
b8:27:eb:bf:9d:51,2020-07-12 00:30:38.983463049,IoT-Lab,22.6,51.2
1c:bf:ce:15:ec:4d,2020-07-12 00:30:39.455659389,IoT-Lab,26.899999618530273,77.69999694824219
00:0f:00:70:91:0a,2020-07-12 00:30:41.571361780,IoT-Lab,19.700000762939453,76.0999984741211
b8:27:eb:bf:9d:51,2020-07-12 00:30:42.669204473,IoT-Lab,22.5,51.1
1c:bf:ce:15:ec:4d,2020-07-12 00:30:44.864897013,IoT-Lab,26.899999618530273,77.5999984741211
b8:27:eb:bf:9d:51,2020-07-12 00:30:46.355058908,IoT-Lab,22.6,51.2
00:0f:00:70:91:0a,2020-07-12 00:30:46.460398197,IoT-Lab,19.700000762939453,76.19999694824219
1c:bf:ce:15:ec:4d,2020-07-12 00:30:49.207292318,IoT-Lab,27.0,77.69999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:30:50.041476727,IoT-Lab,22.6,51.2
00:0f:00:70:91:0a,2020-07-12 00:30:51.348101616,IoT-Lab,19.700000762939453,76.19999694824219
b8:27:eb:bf:9d:51,2020-07-12 00:30:53.727693558,IoT-Lab,22.6,51.2
1c:bf:ce:15:ec:4d,2020-07-12 00:30:54.623402596,IoT-Lab,26.899999618530273,77.69999694824219
00:0f:00:70:91:0a,2020-07-12 00:30:55.162143707,IoT-Lab,19.700000762939453,76.19999694824219
